n    tn     tn+1   Sƒn                                Sƒn+1                              1 - Sƒn                            Sƒn - Sƒn+1                       
350  04.66  03.94  0.6768083683080674539667143108100  0.6312207826696734080940132116700  0.3231916316919325460332856891900  0.0455875856383940458727010991420  
352  04.70  03.88  0.6768075659294798818166327691900  0.6312215225993237366353127981700  0.3231924340705201181833672308100  0.0455860433301561451813199710160  
354  04.73  03.87  0.6768067748743873401906512299300  0.6312222522594092000147725229900  0.3231932251256126598093487700700  0.0455845226149781401758787069410  
356  04.79  03.90  0.6768059949204846548198588607200  0.6312229718486829233015100726300  0.3231940050795153451801411392800  0.0455830230718017315183487880860  
358  04.75  03.96  0.6768052258510440788441542281300  0.6312236815609744144950354893800  0.3231947741489559211558457718600  0.0455815442900696643491187387550  
360  04.83  03.92  0.6768044674547458727786874987900  0.6312243815853377792990386296900  0.3231955325452541272213125012100  0.0455800858694080934796488691060  
362  05.05  03.95  0.6768037195255127702608888284900  0.6312250721061944958023559593100  0.3231962804744872297391111715100  0.0455786474193182744585328691750  
364  04.86  03.99  0.6768029818623534366039962151200  0.6312257533034724144016536229200  0.3231970181376465633960037848700  0.0455772285588810222023425922090  
366  04.92  04.06  0.6768022542692098131311695397000  0.6312264253527378743413578376900  0.3231977457307901868688304603000  0.0455758289164719387898117020080  
368  04.93  04.04  0.6768015365548087913794006453800  0.6312270884253252667406286491300  0.3231984634451912086205993546200  0.0455744481294835246387719962510  
370  04.91  04.07  0.6768008285325218809092007177200  0.6312277426884606024160007109400  0.3231991714674781190907992822800  0.0455730858440612784932000067780  
372  04.96  04.12  0.6768001300202269865380344526800  0.6312283883053816380126477270100  0.3231998699797730134619655473200  0.0455717417148453485253867256690  
374  05.00  04.08  0.6767994408401765138449945880000  0.6312290254354533391989434676300  0.3232005591598234861550054120000  0.0455704154047231746460511203620  
376  05.04  04.34  0.6767987608188699155675749352700  0.6312296542342801242142513729000  0.3232012391811300844324250647300  0.0455691065845897913533235623620  
378  05.10  04.16  0.6767980897869299017344246749400  0.6312302748538133334577082678100  0.3232019102130700982655753250600  0.0455678149331165682767164071260  
380  05.09  04.26  0.6767974275789840898909233146700  0.6312308874424559235194465145500  0.3232025724210159101090766853300  0.0455665401365281663714768001230  
382  05.33  04.23  0.6767967740335484316815950478500  0.6312314921451631644089275141600  0.3232032259664515683184049521500  0.0455652818883852672726675336890  
384  05.14  04.21  0.6767961289929185220159979508000  0.6312320891035402281588062578500  0.3232038710070814779840020492000  0.0455640398893782938571916929500  
386  05.16  04.25  0.6767954923030585767662614671300  0.6312326784559363357374195402400  0.3232045076969414232337385328700  0.0455628138471222410288419268910  
388  05.16  04.26  0.6767948638135018457617775311500  0.6312332603375357953368052221800  0.3232051361864981542382224688500  0.0455616034759660504249723089740  
390  05.21  04.31  0.6767942433772466959140956532800  0.6312338348804462651031599307300  0.3232057566227533040859043467200  0.0455604084968004308109357225470  
392  05.27  04.33  0.6767936308506611320368051565300  0.6312344022137836851982228836300  0.3232063691493388679631948434700  0.0455592286368774468385822729030  
394  05.26  04.51  0.6767930260933884278884420382400  0.6312349624637552114592153884600  0.3232069739066115721115579617600  0.0455580636296332164292266497790  
396  05.30  04.41  0.6767924289682570870851918698400  0.6312355157537384853227990788600  0.3232075710317429129148081301500  0.0455569132145186017623927909880  
398  05.35  04.38  0.6767918393411921362812222469100  0.6312360622043591273921947504300  0.3232081606588078637187777530900  0.0455557771368330088890274964800  
400  05.34  04.43  0.6767912570811300820849965020900  0.6312366019335654554467396337700  0.3232087429188699179150034979100  0.0455546551475646266382568683180  
402  05.38  04.42  0.6767906820599376427338711437200  0.6312371350567006489384880296700  0.3232093179400623572661288562800  0.0455535470032369937953831140470  
404  05.42  04.44  0.6767901141523308128356006818600  0.6312376616865728040650651564600  0.3232098858476691871643993181300  0.0455524524657580087705355254000  
406  05.45  04.60  0.6767895532357990351357557301500  0.6312381819335229904410766721400  0.3232104467642009648642442698500  0.0455513713022760446946790580110  
