   k     k*nj*ni   tji        t total   fn

2015-11-01 17:24:21-01:00
0051   025500000   713   0 09:30:27.0   0.36805791051039808291062833139344561333597044371132035544346681523853236437760233119303047701152158288090114323111277633597712076352753684189974905012953974719190732988727020270274364828774009054850307340946525208114720910145569154354289538213845219801190364518401194050598979697035869476636299357952665739061294684510980276914052988765030490502962441037554520410552766666592581194454066050741014566051798915701028466154718960139091654818641467468754241582149232053531194934447067895884008540256459587
0052   026000000   622   0 09:40:50.0   0.36805618592220707711146231198333191882722294111254152407064294571045403604962875986398556743415560997992567053996049962841973510759283932638403670374150336085679280667244377177298429477166242190708803268382572752097824276150529152798126517340773211404152569826882722032244713451646381993200420273633108440629855403091565669957581795127834168659171262630547769433714897869993965475074192923949203527646733603019797746926080561365750396881653385354351182960616864873103722835729891491877304688453484809
0053   026500000   631   0 09:51:21.0   0.36805451038015049044292817526260551122976188461492549557109513987372113516894981117251101825221731811495200196100357870234669580017176589129756689288170362481566734079105383615082553210799599505994601625389724057081970091777160243328933513948023038519485711346922600186659526122685538674771254239591119908065625307490795443707786007351247874255742955465138149596714221810337789159146963613735323722555793253823287100079139526093536698262679483127453161643638302435551545777497720344234514067019334063
0054   027000000   646   0 10:02:07.0   0.36805288160275376659139185558310614620511964803841193347761223945523039282935098916519755509078895458444184483832414134545303352343377272630463313730468051487873480241796425952862517485792300945754740993080374546336182442606275694027537794774233122425327899007782130546902815330888148782995339581505494512078816224632502474993347053188519245783318836117646966496530799099382351414377868470528820784339367443159312163396006764907322150314908424720520617110014789736788185097445381513505980506797598059
0055   027500000   616   0 10:12:23.0   0.36805129745440708420179406904022948175140771770033122756053913029119450919452829960387902375328984701894231216705368331294144837423575344262051472092504767062062284701445522339399784343104128021365075000938261107363468254799702501712966425397320440676215781652371394189802643524869754450161580390093410058954800311184414127822237232927133607516275663639266739775927891015845249506438667711693762483153642565166483588357129691595074921481568248529342765948188202904117945908105344453537700928762751019
0056   028000000   617   0 10:22:40.0   0.36804975593359007764936163074332311185132988960290984002622476846157430559487543397796081175303445914652521166583784979574089670918601342211476625455039578093558187145907899581356420776713343983259941041179843585599974381738964199796438928102965329918332136354420453513672131621370668275728121698865223668958719293500160104132943953340770632520671301681401771640291306879927511862443453465105574396852004725221045603697606306101577563370105643200890995856698738474016312370423809188886950791124434174
0057   028500000   618   0 10:32:58.0   0.36804825516223792207924628179164846249131650490952199804235552915038746395114344390711291723506925231326102522557887847241997126487554168082266821625356151509187922880332829688416420176699752296919020704161755728844551606126059904932159414787794547579408423887037432048746632219850426780225786460663916661641897533446728920280921493191698660259231265423539435113773813010949277120672199522695763312154643996990571924877880361665979117342099450628385949696770227843932543801405522925280959180384461277
0058   029000000   621   0 10:43:19.0   0.36804679337612029990099131241613595016069925782791933793583490245484371629096455438041648070343921175284026473336307996734971772566365864616867049880004633069028621881639093000788506842819602231326421382059575142466198679249409811695859470516118444414686367061305549917306236670257792567764169543831895031785876481946474457808498697626677351683019150630878141591566968540400778453422545254949598099539461022758957489052197939039024522399889140724027132124982879539760568226384686243978126098843513167
0059   029500000   668   0 10:54:27.0   0.368045368916121170350977575381707691957780269396546758114460893615132972868918205590877143003903563227556899673125494906738034979861487247190710791199489084019002868580755784849804314476722510411940317413776023810763108426157938535325929733163943034989941379221234774340049677240934570191170788346133051737263173331430321649138250979897756458631257049600963137633260139289064677986395671837546185743997896789181494036353905413955196983414449275608202349310595845965588382917651196574149789170963496
0060   030000000   637   0 11:05:05.0   0.36804398022032133412447954126468146980944753998354625907821297123406908694382283171879844134018889900428648142930593850226628686157771684491947591748586473827678211789604987482555358026201846342953661841935274432681851329456293822438432889852395833919592041573583182059702036524853037373613679021440713637766881308619190849159705275563542869576826348320587781070309298008639247200162441100693516000864679864212246865609439906560617300795022056684851715280056480065423008778478091974629348814176662518
